Semester;Alter;Geschlecht;Studiengang;Schulabschluss;Bundesland;Entfernung;Fahrtdauer;HaeufSmartphone;HaeufMobInternet;HaeufNotebook;HaeufDesktopPC;HaeufStatInternet;HaeufTabletPC;HaeufEBookReader;HaeufWhatsApp;HaeufFacebook;HaeufInstagram;HaeufTwitter;HaeufXing;HaeufLinkedIn;HaeufAndere;QuelleLV;QuelleMoodle;QuelleBuecher;QuelleAufsaetze;QuelleGespraeche;QuelleWikipedia;QuelleLehrvideos;QuelleVortraege;QuelleAndere;BewertVortraege;BewertFolien;BewertGruppenarb;BewertBegleitmat;BewertBibliothek;BewertLernwelt;OVS_Sal1;OVS_Reac1;OVS_Mon1;OVS_Sal2;OVS_Reac2;OVS_Mon2;OVS_Sal3;OVS_Reac3;OVS_Mon3;OVS_Sal4;OVS_Reac4;OVS_Mon4;N_Manip1;N_Angeb1;N_Einzig1;N_Angeb2;N_Einzig2;N_Ueberh1;N_Manip2;N_Anspr1;N_Ueberh2;N_Einzig3;N_Anspr2;N_Anspr3;N_Aut1;N_Aut2;N_Aut3;N_Anspr4;N_Ueberh3;IKU1;IKU2;EKU1;EKU2
SoSe20;33;1;4;3;Baden-Wuerttemberg;40;80;5;4;1;5;5;1;1;5;1;1;1;1;1;1;5;5;5;4;3;4;4;4;3;1;1;1;1;1;1;3;3;5;4;5;5;4;3;4;4;5;5;1;1;3;1;3;1;1;5;3;1;1;5;1;2;3;2;3;3;1;1;1
SoSe20;22;1;4;3;Baden-Wuerttemberg;34;45;2;1;1;3;5;3;1;5;1;1;1;1;1;5;5;5;1;1;4;1;3;1;4;1;2;2;2;5;1;3;3;3;4;4;4;3;3;4;4;4;3;1;3;1;1;1;2;3;1;3;3;1;2;1;1;3;3;4;4;4;3;3
SoSe20;20;1;3;1;Baden-Wuerttemberg;40;35;2;2;5;1;5;1;1;5;2;2;1;1;1;1;4;5;4;4;2;3;4;3;1;3;2;1;3;3;2;2;2;3;3;5;2;1;5;5;2;4;3;1;1;4;2;2;3;2;1;2;3;3;3;4;3;3;5;2;5;5;3;4
SoSe20;19;1;4;1;Schleswig-Holstein;2;5;5;2;5;1;5;5;1;5;2;4;3;2;1;4;4;4;3;4;1;4;4;4;4;2;3;5;2;2;2;3;3;3;2;4;3;1;2;3;2;2;2;3;1;2;1;1;1;3;1;1;3;1;3;3;3;2;3;3;4;4;2;4
SoSe20;19;2;3;1;Baden-Wuerttemberg;73;80;3;2;5;3;4;1;1;4;1;2;1;1;1;1;5;5;3;3;5;2;2;2;2;2;3;2;2;2;2;4;4;3;3;3;3;2;2;3;4;2;2;2;3;1;2;4;3;3;2;4;2;3;4;3;3;4;4;4;3;4;4;2
SoSe20;29;1;4;1;Baden-Wuerttemberg;32;35;2;2;5;3;5;5;1;2;1;1;1;1;1;3;5;5;4;2;2;2;1;3;4;2;3;3;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;4;2;1;3;2;4;3;2;4;4;2;3;4;4;5;2;5;5;5;1;1
SoSe20;18;2;3;1;Baden-Wuerttemberg;12;15;5;5;5;1;5;1;1;5;1;4;1;1;3;2;5;4;3;2;3;2;4;2;2;2;2;1;2;2;2;3;3;2;3;4;5;4;1;5;4;1;5;2;1;1;2;3;1;2;1;4;1;2;1;2;2;4;4;1;5;5;3;5
SoSe20;33;2;4;1;Baden-Wuerttemberg;15;40;3;4;5;3;5;2;1;4;1;1;1;1;1;1;4;4;4;3;2;3;3;3;2;2;3;4;3;3;2;4;4;2;3;4;3;2;3;2;3;3;2;3;3;1;2;2;2;3;2;2;3;2;3;3;3;3;4;3;4;4;2;3
SoSe20;19;2;3;1;Baden-Wuerttemberg;52;60;4;3;5;2;5;5;1;4;1;2;1;2;1;2;3;4;2;3;3;3;3;3;2;2;3;1;2;2;2;4;4;4;4;4;4;3;4;3;4;3;3;3;-99;3;4;3;3;3;3;3;3;4;4;4;4;4;3;4;4;4;3;4
SoSe20;26;1;4;3;Baden-Wuerttemberg;30;50;5;5;5;-99;5;4;2;4;1;3;1;1;1;3;3;5;3;3;3;2;5;5;3;2;3;4;3;3;1;4;-99;3;3;2;4;2;3;3;2;2;4;4;4;5;3;3;3;5;5;3;3;5;5;5;4;5;3;5;4;3;3;3
SoSe20;25;2;3;1;-99;26;60;2;2;5;1;5;5;1;5;1;1;1;1;1;1;5;5;5;1;4;3;3;2;1;3;3;2;2;2;1;1;4;4;3;5;4;1;4;5;3;4;4;3;1;4;1;4;4;1;1;3;2;4;4;2;3;3;4;4;5;4;2;2
SoSe20;19;1;4;1;Baden-Wuerttemberg;30;50;5;5;3;5;5;5;3;5;3;5;1;1;1;1;5;5;3;3;3;3;4;3;2;1;1;3;3;3;3;4;4;2;2;3;3;3;4;3;3;4;4;3;4;4;4;4;4;4;3;3;4;5;5;5;5;5;5;5;-99;4;2;2
SoSe20;24;1;4;3;Baden-Wuerttemberg;50;60;3;2;5;1;4;5;1;3;2;1;1;2;2;2;3;3;4;2;3;1;4;4;2;2;3;2;2;-99;-99;2;3;2;3;1;1;1;1;2;-99;1;1;2;2;1;1;3;5;4;3;3;5;3;4;3;3;4;3;4;5;4;2;2
SoSe20;21;2;4;1;Baden-Wuerttemberg;22;30;4;4;5;1;5;1;1;5;2;4;1;1;1;1;5;5;4;3;3;1;5;2;1;2;3;2;3;3;3;4;3;4;2;5;4;2;4;4;4;3;3;3;2;1;2;1;2;2;3;2;2;2;4;2;2;2;3;3;4;3;2;3
SoSe20;20;2;3;1;Baden-Wuerttemberg;10;20;3;4;5;1;5;5;1;5;1;2;1;1;1;1;4;-99;4;3;3;3;3;1;1;2;2;2;1;1;1;4;4;4;2;4;3;1;3;3;4;3;4;2;1;4;2;3;2;3;2;1;4;2;4;2;3;5;1;3;5;4;1;4
SoSe20;19;2;3;1;Baden-Wuerttemberg;1;10;3;2;5;1;5;5;1;4;1;1;1;1;1;3;3;5;2;2;4;3;2;1;3;3;3;2;2;2;2;5;4;4;4;5;4;2;3;5;5;3;3;1;1;2;2;1;2;1;1;1;3;1;4;1;2;3;2;1;4;4;1;3
SoSe20;23;2;2;3;Baden-Wuerttemberg;11;55;3;2;4;1;5;1;1;4;1;1;1;1;1;2;5;4;3;3;3;2;2;2;2;2;2;2;2;2;2;4;4;3;3;4;3;2;2;2;2;2;2;3;2;2;3;3;4;4;3;4;4;3;2;3;3;4;3;4;4;4;3;2
SoSe20;22;2;4;1;Nordrhein-Westfalen;45;85;5;5;5;1;-99;5;1;4;2;1;1;1;1;1;3;5;4;2;4;1;4;2;3;4;3;3;2;2;4;5;3;2;5;3;2;1;3;1;3;1;1;4;2;3;2;2;3;4;3;2;4;3;4;4;3;3;3;4;4;4;2;5
